Year,Code,Economy,Grp,GTMI,GT1,CGSI,GT2,PSDI,GT3,DCEI,GT4,GTEI
2022,AFG,Afghanistan,C,0.354,C,0.415,B,0.547,D,0.131,C,0.322
2022,ALB,Albania,A,0.752,B,0.707,A,0.857,B,0.735,B,0.709
2022,DZA,Algeria,B,0.502,C,0.493,B,0.689,C,0.309,B,0.516
2022,AND,Andorra,C,0.253,D,0.196,B,0.555,D,0.041,D,0.220
2022,AGO,Angola,C,0.447,C,0.436,B,0.565,D,0.221,B,0.566
2022,ATG,Antigua and Barbuda,C,0.348,C,0.466,B,0.549,D,0.046,C,0.331
2022,ARG,Argentina,A,0.759,A,0.756,A,0.890,B,0.741,B,0.650
2022,ARM,Armenia,B,0.722,B,0.705,A,0.846,B,0.706,B,0.631
2022,AUS,Australia,A,0.811,A,0.836,A,0.784,A,0.815,A,0.810
2022,AUT,Austria,A,0.892,A,0.892,A,0.977,A,0.810,A,0.892
2022,AZE,Azerbaijan,A,0.775,B,0.694,A,0.935,A,0.841,B,0.629
2022,BHS,Bahamas,C,0.487,B,0.560,A,0.878,D,0.172,C,0.339
2022,BHR,Bahrain,A,0.828,B,0.740,A,0.796,A,0.920,A,0.857
2022,BGD,Bangladesh,A,0.845,A,0.915,B,0.707,A,0.837,A,0.920
2022,BRB,Barbados,C,0.355,C,0.386,B,0.679,D,0.044,C,0.310
2022,BLR,Belarus,C,0.407,B,0.523,B,0.635,D,0.167,C,0.302
2022,BEL,Belgium,A,0.804,A,0.800,A,0.944,B,0.692,A,0.777
2022,BLZ,Belize,C,0.331,C,0.410,B,0.561,D,0.023,C,0.331
2022,BEN,Benin,B,0.678,B,0.645,A,0.804,B,0.597,B,0.667
2022,BTN,Bhutan,B,0.595,A,0.812,B,0.720,C,0.317,B,0.531
2022,BOL,Bolivia,B,0.531,B,0.658,A,0.823,C,0.292,C,0.352
2022,BIH,Bosnia and Herzegovina,C,0.271,C,0.464,C,0.285,D,0.160,D,0.176
2022,BWA,Botswana,C,0.369,B,0.554,B,0.522,D,0.138,C,0.261
2022,BRA,Brazil,A,0.975,A,0.980,A,0.969,A,0.970,A,0.981
2022,BRN,Brunei Darussalam,B,0.655,B,0.552,A,0.840,B,0.621,B,0.607
2022,BGR,Bulgaria,B,0.681,B,0.702,A,0.845,C,0.467,B,0.712
2022,BFA,Burkina Faso,B,0.639,B,0.581,B,0.514,A,0.805,B,0.656
2022,BDI,Burundi,C,0.414,C,0.414,B,0.632,C,0.432,D,0.176
2022,CPV,Cabo Verde,A,0.822,A,0.910,A,0.786,A,0.826,A,0.766
2022,KHM,Cambodia,B,0.584,B,0.701,B,0.719,C,0.325,B,0.592
2022,CMR,Cameroon,C,0.392,C,0.421,C,0.492,C,0.352,C,0.301
2022,CAN,Canada,A,0.769,A,0.769,A,0.856,A,0.779,B,0.672
2022,CAF,Central African Republic,D,0.171,D,0.214,D,0.215,D,0.134,D,0.121
2022,TCD,Chad,D,0.179,C,0.273,D,0.032,D,0.154,C,0.258
2022,CHL,Chile,A,0.754,A,0.772,A,0.834,B,0.682,B,0.729
2022,CHN,China,B,0.665,B,0.581,A,0.841,B,0.627,B,0.611
2022,COL,Colombia,A,0.864,A,0.911,A,0.883,A,0.932,B,0.730
2022,COM,Comoros,C,0.262,C,0.378,D,0.140,D,0.203,C,0.328
2022,COD,Congo Dem. Rep.,C,0.299,C,0.351,C,0.251,C,0.330,C,0.263
2022,COG,Congo Rep.,D,0.165,C,0.274,D,0.154,D,0.026,D,0.206
2022,CRI,Costa Rica,B,0.512,B,0.661,B,0.575,C,0.318,C,0.493
2022,CIV,Côte d'Ivoire,C,0.459,C,0.371,B,0.573,C,0.390,B,0.501
2022,HRV,Croatia,A,0.761,A,0.834,A,0.857,B,0.668,B,0.684
2022,CUB,Cuba,C,0.336,C,0.288,C,0.367,C,0.272,C,0.417
2022,CYP,Cyprus,B,0.720,B,0.688,A,0.882,C,0.459,A,0.853
2022,CZE,Czech Republic,A,0.790,A,0.842,A,0.830,B,0.635,A,0.850
2022,DNK,Denmark,A,0.874,A,0.775,A,0.978,A,0.932,A,0.809
2022,DJI,Djibouti,C,0.274,C,0.349,C,0.293,D,0.132,C,0.322
2022,DMA,Dominica,C,0.296,C,0.404,C,0.491,D,0.010,C,0.281
2022,DOM,Dominican Republic,A,0.867,A,0.844,A,0.917,A,0.940,A,0.767
2022,ECU,Ecuador,A,0.863,A,0.870,A,0.924,A,0.912,B,0.744
2022,EGY,Egypt,A,0.751,A,0.783,A,0.795,B,0.626,A,0.802
2022,SLV,El Salvador,A,0.767,B,0.738,A,0.938,A,0.764,B,0.628
2022,GNQ,Equatorial Guinea,D,0.093,D,0.064,D,0.119,D,0.118,D,0.071
2022,ERI,Eritrea,D,0.049,D,0.058,D,0.000,D,0.103,D,0.037
2022,EST,Estonia,A,0.956,A,0.910,A,1.000,A,0.998,A,0.916
2022,SWZ,Eswatini,C,0.394,B,0.511,C,0.353,C,0.319,C,0.391
2022,ETH,Ethiopia,B,0.580,C,0.483,A,0.825,C,0.443,B,0.570
2022,FJI,Fiji,B,0.574,B,0.704,B,0.648,C,0.357,B,0.588
2022,FIN,Finland,A,0.811,B,0.716,A,0.988,A,0.802,B,0.737
2022,FRA,France,A,0.945,A,0.923,A,0.957,A,0.950,A,0.952
2022,GAB,Gabon,D,0.137,C,0.261,D,0.042,D,0.123,D,0.121
2022,GMB,Gambia,D,0.223,C,0.327,D,0.114,D,0.173,C,0.279
2022,GEO,Georgia,B,0.608,B,0.563,B,0.741,C,0.499,B,0.630
2022,DEU,Germany,A,0.768,B,0.725,A,0.908,B,0.612,A,0.826
2022,GHA,Ghana,B,0.534,B,0.647,B,0.698,C,0.307,C,0.485
2022,GRC,Greece,A,0.855,A,0.859,A,0.935,A,0.765,A,0.859
2022,GRD,Grenada,C,0.257,C,0.370,C,0.428,D,0.023,D,0.208
2022,GTM,Guatemala,B,0.632,B,0.571,A,0.874,C,0.440,B,0.644
2022,GIN,Guinea,D,0.147,C,0.254,D,0.149,D,0.132,D,0.055
2022,GNB,Guinea-Bissau,D,0.204,C,0.264,C,0.396,D,0.091,D,0.067
2022,GUY,Guyana,C,0.293,C,0.402,B,0.557,D,0.024,D,0.190
2022,HTI,Haiti,D,0.202,C,0.276,D,0.185,D,0.231,D,0.117
2022,HND,Honduras,C,0.395,B,0.511,C,0.484,D,0.250,C,0.334
2022,HKG,Hong Kong SAR, China,B,0.685,B,0.736,A,0.868,C,0.402,B,0.735
2022,HUN,Hungary,A,0.793,A,0.756,A,0.912,A,0.754,A,0.752
2022,ISL,Iceland,A,0.867,A,0.840,A,0.865,A,0.941,A,0.822
2022,IND,India,A,0.940,A,0.935,A,0.966,A,0.955,A,0.904
2022,IDN,Indonesia,A,0.817,A,0.807,A,0.827,A,0.822,A,0.810
2022,IRN,Iran,B,0.724,A,0.845,A,0.850,C,0.497,B,0.703
2022,IRQ,Iraq,D,0.208,D,0.190,C,0.281,C,0.253,D,0.107
2022,IRL,Ireland,B,0.523,C,0.467,B,0.664,C,0.314,B,0.649
2022,ISR,Israel,B,0.686,B,0.579,A,0.762,B,0.638,A,0.765
2022,ITA,Italy,A,0.796,A,0.874,A,0.946,C,0.484,A,0.880
2022,JAM,Jamaica,B,0.541,C,0.458,A,0.766,B,0.518,C,0.422
2022,JPN,Japan,A,0.767,B,0.566,A,0.941,B,0.734,A,0.828
2022,JOR,Jordan,A,0.829,A,0.803,A,0.888,A,0.803,A,0.821
2022,KAZ,Kazakhstan,A,0.817,B,0.739,A,0.983,A,0.786,A,0.762
2022,KEN,Kenya,B,0.745,A,0.760,A,0.900,B,0.724,B,0.596
2022,KIR,Kiribati,D,0.149,D,0.243,D,0.043,D,0.033,C,0.277
2022,PRK,Korea, DPR,D,0.019,D,0.003,D,0.018,D,0.006,D,0.049
2022,KOR,Korea, Rep.,A,0.991,A,0.990,A,0.998,A,0.994,A,0.984
2022,KSV,Kosovo,B,0.633,B,0.647,A,0.852,B,0.577,C,0.456
2022,KWT,Kuwait,B,0.634,B,0.565,A,0.868,C,0.418,B,0.684
2022,KGZ,Kyrgyz Republic,B,0.578,B,0.502,B,0.684,B,0.651,C,0.475
2022,LAO,Lao PDR,C,0.414,C,0.372,C,0.482,C,0.432,C,0.370
2022,LVA,Latvia,A,0.856,B,0.722,A,0.959,A,0.953,A,0.791
2022,LBN,Lebanon,C,0.359,C,0.473,B,0.569,D,0.044,C,0.351
2022,LSO,Lesotho,C,0.385,C,0.465,C,0.429,C,0.318,C,0.329
2022,LBR,Liberia,D,0.211,C,0.335,D,0.137,C,0.253,D,0.120
2022,LBY,Libya,D,0.118,D,0.156,D,0.055,D,0.086,D,0.176
2022,LIE,Liechtenstein,C,0.286,D,0.173,C,0.357,D,0.143,C,0.472
2022,LTU,Lithuania,A,0.918,A,0.822,A,0.961,A,0.950,A,0.940
2022,LUX,Luxembourg,A,0.814,A,0.816,A,0.752,A,0.881,A,0.807
2022,MAC,Macao SAR, China,C,0.340,C,0.307,B,0.709,D,0.113,D,0.231
2022,MDG,Madagascar,C,0.312,C,0.449,C,0.337,D,0.233,D,0.229
2022,MWI,Malawi,C,0.284,C,0.313,C,0.401,D,0.041,C,0.379
2022,MYS,Malaysia,A,0.793,A,0.827,A,0.904,B,0.671,A,0.769
2022,MDV,Maldives,C,0.406,B,0.562,B,0.736,D,0.034,C,0.291
2022,MLI,Mali,C,0.405,B,0.503,B,0.615,D,0.030,C,0.471
2022,MLT,Malta,A,0.752,B,0.681,A,0.856,B,0.708,A,0.764
2022,MHL,Marshall Islands,D,0.070,D,0.088,D,0.035,D,0.111,D,0.044
2022,MRT,Mauritania,D,0.187,C,0.397,D,0.011,D,0.002,C,0.337
2022,MUS,Mauritius,A,0.864,A,0.891,A,0.918,A,0.771,A,0.875
2022,MEX,Mexico,A,0.792,A,0.792,A,0.795,A,0.823,A,0.758
2022,FSM,Micronesia, Fed. Sts.,D,0.145,C,0.285,D,0.031,D,0.125,D,0.140
2022,MDA,Moldova,A,0.801,B,0.742,A,0.795,A,0.837,A,0.828
2022,MCO,Monaco,C,0.262,C,0.262,C,0.408,D,0.015,C,0.366
2022,MNG,Mongolia,A,0.907,A,0.934,A,0.864,A,0.883,A,0.946
2022,MNE,Montenegro,B,0.564,B,0.652,B,0.705,C,0.418,C,0.481
2022,MAR,Morocco,B,0.613,B,0.547,B,0.730,B,0.617,B,0.558
2022,MOZ,Mozambique,C,0.353,C,0.444,C,0.474,C,0.260,D,0.236
2022,MMR,Myanmar,D,0.220,D,0.211,C,0.453,D,0.034,D,0.180
2022,NAM,Namibia,C,0.416,C,0.462,B,0.555,D,0.239,C,0.408
2022,NRU,Nauru,D,0.079,D,0.205,D,0.034,D,0.028,D,0.048
2022,NPL,Nepal,C,0.439,B,0.581,B,0.515,D,0.228,C,0.433
2022,NLD,Netherlands,A,0.759,A,0.825,A,0.775,B,0.583,A,0.851
2022,NZL,New Zealand,A,0.814,A,0.756,A,0.922,A,0.922,B,0.657
2022,NIC,Nicaragua,C,0.324,B,0.515,B,0.600,D,0.028,D,0.155
2022,NER,Niger,D,0.178,C,0.303,D,0.045,D,0.248,D,0.117
2022,NGA,Nigeria,B,0.504,B,0.595,B,0.683,D,0.217,B,0.521
2022,MKD,North Macedonia,B,0.570,B,0.583,A,0.795,B,0.535,C,0.367
2022,NOR,Norway,A,0.795,A,0.755,A,0.880,B,0.654,A,0.891
2022,OMN,Oman,A,0.836,A,0.861,A,0.907,B,0.696,A,0.882
2022,PAK,Pakistan,B,0.535,C,0.431,A,0.823,C,0.361,B,0.524
2022,PLW,Palau,D,0.202,C,0.335,D,0.178,D,0.126,D,0.167
2022,PAN,Panama,A,0.834,A,0.794,A,0.816,A,0.854,A,0.872
2022,PNG,Papua New Guinea,C,0.465,B,0.598,B,0.587,D,0.221,C,0.455
2022,PRY,Paraguay,B,0.748,B,0.744,A,0.876,B,0.634,B,0.738
2022,PER,Peru,A,0.879,A,0.821,A,0.958,A,0.827,A,0.908
2022,PHL,Philippines,B,0.733,B,0.729,A,0.826,B,0.577,A,0.798
2022,POL,Poland,B,0.680,A,0.792,A,0.908,C,0.291,B,0.730
2022,PRT,Portugal,A,0.833,A,0.859,A,0.928,B,0.649,A,0.896
2022,QAT,Qatar,A,0.874,A,0.833,A,0.954,A,0.931,A,0.779
2022,ROU,Romania,B,0.565,B,0.582,B,0.730,C,0.326,B,0.622
2022,RUS,Russian Federation,A,0.897,A,0.881,A,0.960,A,0.828,A,0.919
2022,RWA,Rwanda,B,0.678,B,0.643,A,0.937,C,0.327,A,0.804
2022,WSM,Samoa,C,0.278,C,0.362,C,0.357,D,0.168,D,0.226
2022,SMR,San Marino,C,0.252,D,0.233,B,0.515,D,0.019,D,0.241
2022,STP,São Tomé and Principe,D,0.218,C,0.296,C,0.320,D,0.088,D,0.169
2022,SAU,Saudi Arabia,A,0.971,A,0.963,A,0.979,A,0.966,A,0.977
2022,SEN,Senegal,C,0.327,C,0.325,C,0.475,C,0.258,C,0.251
2022,SRB,Serbia,A,0.895,A,0.802,A,0.890,A,0.979,A,0.910
2022,SYC,Seychelles,C,0.452,B,0.518,B,0.605,D,0.245,C,0.441
2022,SLE,Sierra Leone,C,0.319,C,0.390,C,0.319,D,0.160,C,0.407
2022,SGP,Singapore,A,0.833,A,0.774,A,0.986,A,0.851,B,0.720
2022,SVK,Slovak Republic,B,0.650,B,0.702,A,0.803,C,0.290,A,0.807
2022,SVN,Slovenia,A,0.832,A,0.790,A,0.955,A,0.862,B,0.721
2022,SLB,Solomon Islands,C,0.268,C,0.364,B,0.620,D,0.024,D,0.063
2022,SOM,Somalia,C,0.265,C,0.302,D,0.248,D,0.248,C,0.263
2022,ZAF,South Africa,B,0.562,B,0.604,B,0.645,C,0.450,B,0.549
2022,SSD,South Sudan,D,0.131,D,0.148,D,0.220,D,0.101,D,0.055
2022,ESP,Spain,A,0.888,A,0.937,A,0.944,A,0.807,A,0.865
2022,LKA,Sri Lanka,B,0.749,A,0.836,A,0.852,B,0.589,B,0.719
2022,KNA,St. Kitts and Nevis,D,0.236,D,0.234,C,0.480,D,0.023,D,0.208
2022,LCA,St. Lucia,B,0.503,B,0.534,B,0.741,C,0.284,C,0.453
2022,VCT,St. Vincent and the Grenadines,C,0.345,C,0.414,B,0.504,D,0.043,C,0.419
2022,SDN,Sudan,D,0.222,D,0.185,D,0.175,C,0.253,C,0.276
2022,SUR,Suriname,D,0.152,C,0.286,D,0.215,D,0.023,D,0.085
2022,SWE,Sweden,A,0.752,A,0.813,A,0.930,C,0.447,A,0.819
2022,CHE,Switzerland,A,0.757,B,0.695,A,0.895,B,0.683,A,0.754
2022,SYR,Syrian Arab Republic,C,0.273,D,0.228,C,0.259,D,0.118,C,0.490
2022,TWN,Taiwan, China,B,0.732,B,0.652,B,0.747,B,0.711,A,0.820
2022,TJK,Tajikistan,C,0.309,C,0.344,B,0.551,D,0.028,C,0.312
2022,TZA,Tanzania,A,0.860,A,0.882,A,0.865,A,0.828,A,0.866
2022,THA,Thailand,A,0.879,A,0.896,A,0.896,A,0.940,A,0.786
2022,TLS,Timor-Leste,C,0.335,C,0.382,C,0.492,D,0.172,C,0.294
2022,TGO,Togo,B,0.508,C,0.366,A,0.759,D,0.244,B,0.661
2022,TON,Tonga,C,0.322,C,0.340,B,0.543,D,0.221,D,0.183
2022,TTO,Trinidad and Tobago,B,0.516,B,0.508,B,0.620,C,0.384,B,0.551
2022,TUN,Tunisia,B,0.688,B,0.619,A,0.760,B,0.629,B,0.745
2022,TUR,Türkiye,A,0.873,A,0.841,A,0.955,A,0.848,A,0.847
2022,TKM,Turkmenistan,D,0.125,D,0.182,D,0.166,D,0.011,D,0.140
2022,TUV,Tuvalu,D,0.106,D,0.103,D,0.157,D,0.120,D,0.042
2022,UGA,Uganda,A,0.858,A,0.889,A,0.881,A,0.917,B,0.748
2022,UKR,Ukraine,A,0.768,B,0.690,A,0.969,B,0.663,B,0.748
2022,ARE,United Arab Emirates,A,0.961,A,0.922,A,0.989,A,0.976,A,0.956
2022,GBR,United Kingdom,A,0.840,B,0.675,A,0.967,A,0.940,A,0.778
2022,USA,United States of America,A,0.766,A,0.766,A,0.885,B,0.586,A,0.827
2022,URY,Uruguay,A,0.861,A,0.878,A,0.953,A,0.827,A,0.788
2022,UZB,Uzbekistan,A,0.813,A,0.794,A,0.951,B,0.545,A,0.965
2022,VUT,Vanuatu,C,0.341,C,0.416,C,0.496,D,0.157,C,0.297
2022,VEN,Venezuela, RB,C,0.286,C,0.377,C,0.443,D,0.133,D,0.189
2022,VNM,Vietnam,B,0.682,A,0.804,A,0.760,C,0.398,A,0.765
2022,WBG,West Bank and Gaza,C,0.392,B,0.545,B,0.549,C,0.320,D,0.153
2022,YEM,Yemen,D,0.225,C,0.350,D,0.190,D,0.131,D,0.230
2022,ZMB,Zambia,B,0.554,B,0.653,B,0.707,C,0.307,B,0.548
2022,ZWE,Zimbabwe,C,0.460,C,0.459,C,0.487,D,0.163,B,0.733